utc,temperature,moisture,risk
2026-02-05 00:05:35,10.5,1,1.0
2026-02-05 01:05:35,10.2,1,0.4
2026-02-05 02:05:35,10.0,1,0.0
2026-02-05 03:05:35,10.1,1,0.2
2026-02-05 04:05:35,10.3,1,0.6
2026-02-05 05:05:35,10.7,1,1.4
2026-02-05 06:05:35,11.5,1,3.0
2026-02-05 07:05:35,12.3,1,4.6
2026-02-05 08:05:35,13.0,1,6.0
2026-02-05 09:05:35,13.8,1,7.6
2026-02-05 10:05:35,14.5,1,9.0
2026-02-05 11:05:35,15.2,1,10.4
2026-02-05 12:05:35,15.8,1,11.6
2026-02-05 13:05:35,16.0,1,12.0
2026-02-05 14:05:35,15.7,1,11.4
2026-02-05 15:05:35,15.1,1,10.2
2026-02-05 16:05:35,14.6,1,9.2
2026-02-05 17:05:35,14.0,1,8.0
2026-02-05 18:05:35,13.2,1,6.4
2026-02-05 19:05:35,12.6,1,5.2
2026-02-05 20:05:35,12.0,1,4.0
2026-02-05 21:05:35,11.5,1,3.0
2026-02-05 22:05:35,11.0,1,2.0
2026-02-05 23:05:35,10.6,1,1.2
