utc,temperature,moisture,risk
2026-02-06 00:05:35,27.8,0,59.33
2026-02-06 01:05:35,28.4,0,61.33
2026-02-06 02:05:35,27.9,0,59.67
2026-02-06 03:05:35,28.6,0,62.00
2026-02-06 04:05:35,29.5,0,65.00
2026-02-06 05:05:35,30.1,0,67.00
2026-02-06 06:05:35,31.2,0,70.67
2026-02-06 07:05:35,32.0,0,73.33
2026-02-06 08:05:35,33.1,0,77.00
2026-02-06 09:05:35,34.0,0,80.00
2026-02-06 10:05:35,35.2,0,84.00
2026-02-06 11:05:35,36.1,0,87.00
2026-02-06 12:05:35,37.4,0,91.33
2026-02-06 13:05:35,38.0,0,93.33
2026-02-06 14:05:35,37.6,0,92.00
2026-02-06 15:05:35,36.8,0,89.33
2026-02-06 16:05:35,35.5,0,85.00
2026-02-06 17:05:35,34.2,0,80.67
2026-02-06 18:05:35,33.6,0,78.67
2026-02-06 19:05:35,32.4,1,44.80
2026-02-06 20:05:35,31.5,0,71.67
2026-02-06 21:05:35,30.8,0,69.33
2026-02-06 22:05:35,29.9,1,39.80
2026-02-06 23:05:35,28.7,0,62.33
