utc,temperature,moisture,risk
2026-02-09 00:05:35,8.3,True,0.00
2026-02-09 01:05:35,8.0,True,0.00
2026-02-09 02:05:35,7.7,True,0.00
2026-02-09 03:05:35,7.6,True,0.00
2026-02-09 04:05:35,8.1,True,0.00
2026-02-09 05:05:35,8.8,True,0.00
2026-02-09 06:05:35,9.5,True,0.00
2026-02-09 07:05:35,10.2,True,0.40
2026-02-09 08:05:35,11.0,True,2.00
2026-02-09 09:05:35,11.8,True,3.60
2026-02-09 10:05:35,12.6,True,5.20
2026-02-09 11:05:35,13.3,True,6.60
2026-02-09 12:05:35,14.0,True,8.00
2026-02-09 13:05:35,14.6,True,9.20
2026-02-09 14:05:35,15.1,False,17.00
2026-02-09 15:05:35,14.4,True,8.80
2026-02-09 16:05:35,13.8,True,7.60
2026-02-09 17:05:35,13.0,True,6.00
2026-02-09 18:05:35,12.3,True,4.60
2026-02-09 19:05:35,11.7,True,3.40
2026-02-09 20:05:35,11.1,True,2.20
2026-02-09 21:05:35,10.6,True,1.20
2026-02-09 22:05:35,10.0,True,0.00
2026-02-09 23:05:35,9.4,True,0.00
2026-02-10 00:05:35,8.9,True,0.00
2026-02-10 01:05:35,8.5,True,0.00
2026-02-10 02:05:35,8.2,True,0.00
2026-02-10 03:05:35,7.9,True,0.00
2026-02-10 04:05:35,8.4,True,0.00
2026-02-10 05:05:35,9.0,True,0.00
2026-02-10 06:05:35,9.7,True,0.00
2026-02-10 07:05:35,10.4,True,0.80
2026-02-10 08:05:35,11.3,True,2.60
2026-02-10 09:05:35,12.0,True,4.00
2026-02-10 10:05:35,12.8,True,5.60
2026-02-10 11:05:35,13.5,True,7.00
2026-02-10 12:05:35,14.1,True,8.20
2026-02-10 13:05:35,14.7,False,15.67
2026-02-10 14:05:35,15.3,False,17.67
2026-02-10 15:05:35,14.6,True,9.20
2026-02-10 16:05:35,14.0,True,8.00
2026-02-10 17:05:35,13.3,True,6.60
2026-02-10 18:05:35,12.6,True,5.20
2026-02-10 19:05:35,11.9,True,3.80
2026-02-10 20:05:35,11.4,True,2.80
2026-02-10 21:05:35,10.8,True,1.60
2026-02-10 22:05:35,10.2,True,0.40
2026-02-10 23:05:35,9.7,True,0.00
2026-02-11 00:05:35,9.1,True,0.00
2026-02-11 01:05:35,8.8,True,0.00
2026-02-11 02:05:35,8.4,True,0.00
2026-02-11 03:05:35,8.1,True,0.00
2026-02-11 04:05:35,8.6,True,0.00
2026-02-11 05:05:35,9.2,True,0.00
2026-02-11 06:05:35,9.9,True,0.00
2026-02-11 07:05:35,10.7,True,1.40
2026-02-11 08:05:35,11.5,True,3.00
2026-02-11 09:05:35,12.3,True,4.60
2026-02-11 10:05:35,13.0,True,6.00
2026-02-11 11:05:35,13.7,True,7.40
2026-02-11 12:05:35,14.4,True,8.80
2026-02-11 13:05:35,15.0,False,16.67
2026-02-11 14:05:35,15.6,False,18.67
2026-02-11 15:05:35,14.9,True,9.80
2026-02-11 16:05:35,14.2,True,8.40
2026-02-11 17:05:35,13.6,True,7.20
2026-02-11 18:05:35,12.9,True,5.80
2026-02-11 19:05:35,12.2,True,4.40
2026-02-11 20:05:35,11.6,True,3.20
2026-02-11 21:05:35,11.0,True,2.00
2026-02-11 22:05:35,10.5,True,1.00
2026-02-11 23:05:35,9.9,True,0.00
2026-02-12 00:05:35,9.4,True,0.00
2026-02-12 01:05:35,9.0,True,0.00
2026-02-12 02:05:35,8.6,True,0.00
2026-02-12 03:05:35,8.3,True,0.00
2026-02-12 04:05:35,8.8,True,0.00
2026-02-12 05:05:35,9.4,True,0.00
2026-02-12 06:05:35,10.0,True,0.00
2026-02-12 07:05:35,10.8,True,1.60
2026-02-12 08:05:35,11.7,True,3.40
2026-02-12 09:05:35,12.5,True,5.00
2026-02-12 10:05:35,13.3,True,6.60
2026-02-12 11:05:35,14.0,True,8.00
2026-02-12 12:05:35,14.7,True,9.40
2026-02-12 13:05:35,15.3,False,17.67
2026-02-12 14:05:35,15.9,False,19.67
2026-02-12 15:05:35,15.1,True,10.20
